dataset,z,y,x,value
BEFORE,0,95,923,0
BEFORE,0,1122,704,0
BEFORE,0,1555,552,0
BEFORE,0,1699,286,0
BEFORE,0,1701,130,0
BEFORE,0,2034,888,0
BEFORE,1,502,1918,0
BEFORE,1,529,1459,0
BEFORE,1,581,1571,0
BEFORE,1,1111,1991,0
BEFORE,1,1793,968,0
BEFORE,1,1807,1619,0
BEFORE,2,264,1936,0
BEFORE,2,511,74,0
BEFORE,2,572,744,0
BEFORE,2,980,836,0
BEFORE,2,1088,824,0
BEFORE,2,1150,1074,0
BEFORE,2,1583,920,0
BEFORE,3,485,363,0
BEFORE,3,872,66,0
BEFORE,3,1478,1527,0
BEFORE,3,1628,905,0
BEFORE,3,2016,1040,0
BEFORE,4,504,1129,0
BEFORE,4,644,1607,0
BEFORE,4,797,1603,0
BEFORE,4,812,594,0
BEFORE,5,421,796,0
BEFORE,5,559,1672,0
BEFORE,5,1135,348,0
BEFORE,5,1490,366,0
BEFORE,6,409,939,0
BEFORE,6,478,1767,0
BEFORE,6,571,1442,0
BEFORE,6,605,1295,0
BEFORE,6,718,1260,0
BEFORE,6,943,2010,0
BEFORE,6,1110,1665,0
BEFORE,6,1323,887,0
BEFORE,6,1383,281,0
BEFORE,6,1428,1802,0
BEFORE,6,1440,330,0
BEFORE,7,624,1925,0
BEFORE,7,755,501,0
BEFORE,7,985,873,0
BEFORE,7,1074,1179,0
BEFORE,7,1385,1878,0
BEFORE,7,1482,1802,0
BEFORE,8,410,1109,0
BEFORE,8,1113,1679,0
BEFORE,8,1504,30,0
BEFORE,9,159,1661,0
BEFORE,9,444,572,0
BEFORE,9,506,510,0
BEFORE,9,942,1141,0
BEFORE,9,1533,1081,0
BEFORE,9,1866,1615,0
BEFORE,10,121,809,0
BEFORE,10,239,867,0
BEFORE,10,497,414,0
BEFORE,10,690,104,0
BEFORE,10,922,2009,0
BEFORE,10,1059,300,0
BEFORE,10,1844,707,0
BEFORE,11,411,1769,0
BEFORE,11,536,1339,0
BEFORE,11,628,498,0
BEFORE,11,823,1612,0
BEFORE,11,872,1087,0
BEFORE,11,880,676,0
BEFORE,11,905,141,0
BEFORE,11,1322,240,0
BEFORE,11,1356,397,0
BEFORE,12,91,1971,0
BEFORE,12,384,596,0
BEFORE,12,596,1773,0
BEFORE,12,946,52,0
BEFORE,12,1239,796,0
BEFORE,12,1482,311,0
BEFORE,12,1507,818,0
BEFORE,12,1710,1518,0
BEFORE,13,45,1624,0
BEFORE,13,178,111,0
BEFORE,13,679,1577,0
